"RecipeID","Title","Category","Ingredient","Preparation"
11,"Provola affumicata e altro formaggio fritto","Secondi","600 gr. di Provola affumicata trentina;Nostrano de Casel e Casolèt.;","Preparazione Riscaldare bene una pentola antiaderente; cospargere il formaggio a pioggia sul fondo, formando un leggero strato; rigirare la sfoglia ottenuta e, prima di adagiarla sul piatto, tenerla sospesa per qualche attimo, sì da ottenere una montagna dorata. La preparazione deve avvenire con estrema sollecitudine. Questa ricetta si può utilizzare come semplice e gradevole stuzzichino. Un'ottima variante può essere gustata con l'aggiunta di patate lesse a dadini dorate in un soffritto di cipolla."
12,"Gnocchi allo Spetz Tsaorì","Primi","500 gr. di pane a dadini;100 gr. di formaggio Spetz Tsaorì (Puzzone di Moena);100 gr. di formaggio caprino trentino;50 gr. di farina;0,25 l. di latte;1 cipolla;4 uova ;2 porri. ;","Preparazione Si preparano aggiungendo al pane la cipolla rosolata, le uova sbattute con il latte e i dadini di formaggio Spetz Tsaorì e di Caprino trentino; quindi spolverare con la farina, mescolare bene e formare gli gnocchi che verranno bolliti per 10 minuti nell'acqua salata. In una padella glassare i porri con il burro e il formaggio Caprino trentino e condire gli gnocchi."
13,"Polenta e Tosèla","Secondi","600 gr. di Tosèla;100 gr. di burro;polenta gialla;sale.;","Preparazione È essenziale, per una perfetta riuscita di questo singolarissimo piatto, che il formaggio sia veramente di giornata, comunque che non abbia superato le 24 ore. Dopo aver fatto rosolare il burro in un tegame, si mette a friggere la Tosèla tagliata a fette rettangolari alte un centimetro, né più né meno, per evitare che il formaggio si spappoli, oppure che non assorba a perfezione, anche all'interno, il necessario calore per una cottura uniforme. Occorre porre anche attenzione alla giusta salatura. Va servita calda, col burro fuso, sopra una bella fetta di polenta; accostamenti ideali sono quelli con i finferli o con la salsiccia alla piastra."
14,"Formaggio Tre Valli alla grappa","Secondi","1 fetta di formaggio Tre Valli tagliata spessa circa un dito per ogni commensale;una noce di burro;1 bicchierino di grappa bianca;fette di polenta abbrustolita;pepe.;","Preparazione Sciogliere il burro in una padella possibilmente di ferro (oppure col fondo antiaderente), mettere le fette di formaggio ben distanziate e lasciarle lentamente sciogliere. A circa metà dell'operazione, spruzzare il formaggio con la grappa e pepare. Servire le fette di formaggio ben calde su crostoni di pane fritti nel burro, oppure su fette di polenta abbrustolita."
15,"Carciofi e Vezzena","Antipasti","8 carciofi;50 gr. di formaggio Vezzena vecchio;sale, limone, olio.;","Preparazione Togliere ai carciofi tutte le foglie dure, mettendo a nudo il cuore bianco tagliato a spicchi sottili e mescolato con il Vezzena ridotto a scagliette, condire con limone, sale e olio."
16,"Spinaci crudi e Vezzena","Antipasti","400 gr. di spinaci;150 gr. di formaggio Vezzena vecchio;2 spicchi d'aglio, sale, olio.;","Preparazione Scegliere gli spinaci e tagliarli a listarelle e ridurre il Vezzena vecchio a piccole e irregolari scaglie. Spremere gli spicchi d'aglio nell'olio, aggiungere sale, battere con la frusta e quindi condire l'insalata di spinaci e Vezzena."
17,"Crauti trentini e maiale","Secondi","1 kg. di crauti freschi trentini;una mela golden della val di Non;500 gr. di carne di maiale;300 gr. di puntine di maiale;300 gr. di lucanica fresca trentina;alloro, sale, pepe, comino  e aglio.;","Preparazione Prendere i crauti a freddo e riporli in una pentola larga e alta. Coprirli completamente con acqua, superando di due o tre centimetri il livello dei crauti. Aggiungere la mela sbucciata e tagliata a spicchi, che servirà a togliere l'eccessiva acidità del prodotto. Per chi lo desidera è possibile aggiungere alcuni spicchi d'aglio puliti e i semi di comino. La cottura deve essere piuttosto prolungata ­ non meno di due ore ­ a fuoco molto lento. È importante non rimestare i crauti e, alla fine della cottura, regolare con sale e pepe a piacimento. Le lucaniche fresche vengono bollite in acqua calda per quindici minuti e forate con una forchetta per far perdere il grasso eccessivo. Le lucaniche possono essere tagliate a fette piuttosto grosse e aggiunte per un'ulteriore cottura ai crauti, così come le puntine. A parte preparare la carne di maiale ­ di preferenza carré ­ al forno, precedentemente strofinata con l'aglio e cosparsa di comino. All'ultimo momento verrà aggiunta sul piatto di portata ai crauti, assieme alle puntine e alle lucaniche. Questo piatto è solitamente abbinato ad una fumante polenta."
18,"Polenta",,"600 gr. di farina di mais di Storo;2 litri circa di acqua;15 gr. di sale grosso.;","Preparazione Porre a scaldare l'acqua, salandola. Si considera indicativo utilizzare un peso di farina pari ad un terzo del peso d'acqua: Raccomandiamo l'uso di farina a grana piuttosto grossa e d'ottima qualità, come quella di Storo. Quando l'acqua bolle versare la farina da polenta a spaglio, ben mescolando al fine di evitare i grumi. Mescolare intensamente fino a che l'impasto risulti abbastanza denso. Continuare a cuocere, frequentemente rimestando con la canaròla, il classico bastone di legno. Girare di continuo, lentamente, in senso orario, portando l'impasto dal basso verso l'alto almeno per una quarantina di minuti. Servire in tavola, fumante, sul caratteristico tabièl di legno, ossia un tagliere a forma circolare."
19,"Canederli dolci","Dolci","1 kg. patate cotte sbucciate;200 gr. farina bianca;3 tuorli d'uovo;sale.;","Preparazione Formare un impasto con le patate cotte e ridotte con lo schiacciapatate, la farina, i tuorli e il sale. Stendere l'impasto e ritagliare dei rettangoli. Snocciolare le Susine e sostituire il nocciolo con un cubetto di zucchero. Mettere al centro d'ogni rettangolo una Susina di Dro e formare con le mani un canederlo (pallina). Portare ad ebollizione l'acqua salata. Immergervi i canederli e cuocere fino a che vengono a galla. Cospargere, quindi, i canederli con il pangrattato rosolato nel burro. Spolverare con zucchero e cannella. Servire caldi."
20,"Canederli alla trentina","Primi","1 kg. di pane raffermo;0,5 l. di latte;2 lucaniche;100 gr. di pancetta (speck, coppa o altri insaccati);100 gr. di grana trentino;100 gr. di burro;3 spicchi d'aglio;2 l. di brodo di carne;2 uova fresche;sale, pepe, prezzemolo noce moscata q.b.;qualche foglia di salvia;un po' di farina bianca.;","Preparazione Si taglia il pane raffermo a dadini, che si mettono poi in ammollo nel latte, precedentemente intiepidito, per circa due ore. Si leva la pelle delle lucaniche, si taglia a piccoli dadi la pancetta e altri insaccati, si trita il prezzemolo e l'aglio e altri componenti, unendo poi il tutto al pane. S'insaporisce con sale, pepe, noce moscata o altre spezie, grana trentino grattugiato e vi si uniscono le uova. Si amalgama il tutto, usando le mani, e, spolverando con farina bianca, si confeziona delle palline leggermente più piccole di quelle da biliardo. Si fa cuocere a fuoco lento nell'acqua o nel brodo di carne, precedentemente preparato, e si serve con abbondante grana trentino e burro spumeggiante, aromatizzato con salvia, oppure, più tipicamente, con il brodo di cottura."
21,"Strangolapreti","Primi","1 kg. di pane raffermo;500 gr. di spinaci o altre verdure;2 uova;100 gr. di grana trentino;100 gr. di burro;0,5 l. di latte;poco olio d'oliva;poca farina bianca;poca noce moscata;poche foglie di salvia;sale, pepe,cipolla q.b.;","Preparazione Mettere in ammollo nel latte tiepido il pane raffermo tagliato a dadetti per circa tre ore; aggiungere gli spinaci o altre verdure, precedentemente lessati in poca acqua leggermente salata e tritati, dopo averli fatti saltare nel burro e insaporiti con sale, pepe e noce moscata. Unire la cipolla tritata finemente e rosolata nell'olio, il grana trentino grattugiato, le uova, il sale e poca farina bianca. Amalgamare bene il composto con un mestolo di legno. Confezionare quindi gli Strangolapreti nella forma desiderata (a palline, a forma di cucchiaio, di gnocco, ecc.) e versare in acqua bollente salata; quando riaffiorano sono cotti e quindi vanno scolati e serviti con grana trentino abbondante e burro spumeggiante, aromatizzato con salvia."
22,"Bechi-panzalini",,"1 kg. di farina;500 gr. d'acqua;30 gr. di lievito;20 gr. di sale.(eventualmente, in aggiunta, 10 gr. di farina di malto).;","Preparazione Dopo aver fatto amalgamare gli ingredienti, l'impasto deve riposare per circa venti minuti. Con la macchina spezzatrice si ricavano successivamente delle forme da 100 gr. ciascuna. Tali forme vengono poi unite tre alla volta, formando in tal modo delle palline che saranno fatte nuovamente riposare per altri dieci minuti. I pezzi così formati vengono poi lavorati fino a assumere la forma desiderata a barchetta. Si procede poi alla lievitazione che dura circa trenta minuti. Successivamente i pezzi lievitati vengono tagliati trasversalmente, praticando due incisioni. Si passa poi alla fase di cottura in forno alla temperatura di 230 °C con l'uso del vapore (venti minuti circa)."
23,"Bina",,"1 kg. di farina;500 gr. di acqua;45 gr. di olio d'oliva;30 gr. di lievito;20 gr. di sale.;","Preparazione Dopo aver amalgamato gli ingredienti, l'impasto va fatto riposare per circa venti minuti. Da questo si ricavano successivamente delle palline di uguale misura, del peso di circa 50 gr. cadauna, che vengono lavorate manualmente fino ad assumere la tipica forma allungata. Si uniscono poi quattro dei pezzi lavorati e si forma così la Bina. L'impasto va fatto lievitare per circa quaranta minuti. Infine si passa alla cottura in forno a 230 °C con l'utilizzo del vapore (venti minuti circa)."
24,"Gramolato",,"1200 gr. di farina tipo 0;400 gr. di acqua;30 gr. di lievito;20 gr. di sale. ;","Preparazione L'impasto così ottenuto va lavorato con la macchina a cilindro. Se ne ricava in tal modo una pasta liscia e omogenea, dalla quale vengono poi ricavate delle forme da 100 gr. ciascuna. Le forme così ottenute devono essere immediatamente ""allungate"", fino ad assumere il tipico aspetto del filoncino. Attraverso la lavorazione manuale s'intrecciano fra loro per assumere così la forma desiderata. Si passa poi alla fase di lievitazione che dura circa trenta minuti. Infine si procede alla cottura in forno a 230 °C, senza vapore, per venti minuti circa."
25,"Basini de Trent","Dolci","una libbra (pari a kg. 0,336) di mandorle sbucciate;mezza libbra di zucchero;uno o due rossi d'uovo;","Preparazione Si prende una libbra di mandorle sbucciate e mezza libbra di zucchero e si pesta tutto accuratamente nel mortaio. Si aggiungono poi uno o due rossi d'uovo, continuando a pestare e a mescolare da sotto a sopra in modo che la pasta di mandorle assuma la compattezza desiderata. Si preparano mantrugiando il composto con le mani, arrotolando bene l'impasto con le dita, in modo da dare la forma e il volume di una grossa noce. Vengono poi messi nel forno sino a cottura ultimata, ossia sino a quando avranno assunto quel color rosso delicato e quelle piccole screpolature che ci daranno l'impressione di un forte bacio."
26,"Torta de fregolòti","Dolci","50 gr. di burro ; 50 gr. di zucchero ; 300 gr. di farina ; 1 presa di bicarbonato ; 1 bicchierino di grappa trentina ; 1 presa di sale ; 1 tuorlo d' uovo ; 1 cucchiaino di miele trentino ; 70 gr. di mandorle macinate. ;","Preparazione Per prima cosa si devono mondare e tagliuzzare finemente le mandorle­ quindi si devono amalgamare accuratamente tutti gli ingredienti, avendo cura di ridurli, utilizzando le mani, in tante briciole, in modo da avere una pasta che resterà asciutta e caratterizzata da una consistenza grumosa. Durante la manipolazione, cospargere l'impasto con un cucchiaio di grappa bianca. A parte, ungere e infarinare la tortiera e lasciarvi cadere in modo leggero l'impasto ottenuto in forma di piccoli bozzoletti. Mettere la tortiera in forno ben caldo e far cuocere finché la superficie della torta non risulterà di un bel colore giallo-dorato."
27,"Zelten","Dolci","1,25 farina bianca;gr. 160 burro;gr. 160 zucchero;2 bustine di lievito;l. 0,5 latte;gr. 160 noci del Bleggio;gr. 160 fichi secchi;gr. 160 mandorle e pinoli;gr. 160 cedro candito;gr. 160 uva sultanina;1 bicchierino di grappa trentina;2 uova;2 bucce d'arancia non trattata;mandorle intere;sale q.b.;","Preparazione Si inizia sbattendo in una terrina molto a lungo il burro, aggiungendovi, sempre mescolando accuratamente, lo zucchero e le uova intere. Una volta sbattuto e amalgamato il tutto, aggiungere la farina bianca ­ precedentemente passata al setaccio assieme alle bustine di lievito ­ un pizzico di sale e il latte. Nella pasta così ottenuta mettere le noci in precedenza tagliate finemente, i fichi secchi tagliati a pezzettini, i pinoli (o le mandorle tritate), il cedro anch'esso minutamente tagliato, la buccia grattugiata delle arance non trattate chimicamente e, alla fine, la grappa trentina. Lavorare accuratamente questo impasto per una ventina di minuti e porlo sulla piastra del forno, unta e infarinata. Tirarlo con le mani fino a formare una forma rettangolare alta circa 1 centimetro. Guarnirlo con dei gherigli di noci del Bleggio tagliati a metà e metterlo nel forno ben caldo per circa 40 minuti, cioè fino a quando il dolce assume un colore delicatamente brunito."
28,"El sìsam","Antipasti","1 kg. di Alborelle o Aole;0,5 kg. di cipolle a julienne;0,2 l. di olio d'oliva del Garda;0,5 l. di aceto di vino;4 foglie di alloro;sale, pepe.","Preparazione Prendere le Alborelle e privarle delle interiora, delle lische e della testa. Il pesce così ottenuto va fritto e disposto in un recipiente di vetro, alternandolo con un composto costituito da cipolla, precedentemente brasata in olio d'oliva, sale, pepe e aceto. La disposizione del pesce nel recipiente di vetro deve avvenire in modo tale che non ci siano delle bolle d'aria tra i vari strati. Ultimata la disposizione, il tutto va coperto con olio d'oliva del Garda. Il prodotto è pronto per il consumo dopo una settimana. Va conservato in locali freschi e con poca luce. El Sìsam, a contenitore aperto, può essere consumato anche entro due mesi, purché il pesce sia sempre coperto d'olio."
29,"Trota alle mele della Val di Non","Secondi","4 Trote del Trentino del peso di circa 250 gr. ;","Preparazione La trota, questo eccellente salmonide dei torrenti e dei laghi alpini, può essere preparata nei vari, classici modi: bollita, alla piastra, al cartoccio. Preparare dunque la vostra trota cotta a piacere e accompagnarla con l'originale e deliziosa salsa alle mele. Aggiungere alla maionese (quantità a piacere), dei cetrioli sminuzzati, erba cipollina e due mele tagliate a pezzettini."
30,"Frittelle di mele alla grappa giovane trentina","Dolci","1 tazzina di latte;130 gr. di farina;1 cucchiaio di lievito;2 uova;1 bicchiere di grappa giovane trentina;1 presa di sale;5 mele golden delicious;75 gr. di zucchero;cannella; olio di semi;zucchero a velo.;","Preparazione Sbucciare le mele e tagliarle a fette di mezzo centimetro di spessore. Mettere le fette in un piatto e versarvi sopra parte della grappa giovane trentina mescolata con lo zucchero e la cannella. Quindi sbattere i tuorli con il latte e aggiungere il resto della grappa e il sale. Unire la farina, preventivamente setacciata, con il lievito. Montare a neve finissima gli albumi ed incorporarli allimpasto. Immergere le fette di mele nella pasta. Friggere in abbondante olio caldo. Dorare da ambedue le parti. Sgocciolare e porre su un foglio di carta assorbente. Prima di servire, spolverare con zucchero a velo mescolato con cannella."
31,"Pere agli amaretti","Dolci","6 pere ; 200 gr. di amaretti ; 2 uova ; 20 gr. di burro ; 1 cucchiaio di fecola ; 60 gr. di zucchero ; mezo bicchiere di grappa giovane trentina ; 2 dl. di panna ;","Preparazione Sbucciare le pere, tagliarle a lamelle, cospargerle di zucchero, irrorare di grappa giovane trentina. Lasciare riposare per un'ora. Pestare la metà degli amaretti in briciole. Imburrare una pirofila, coprire il fondo con gli amaretti interi. Scolare le pere, stemperare la fecola con il sugo di macerazione; sbattere le uova intere con la panna, incorporare la fecola stemperata e metà degli amaretti sbriciolati, mescolare il tutto. Disporre le pere sopra gli amaretti e versare sopra il composto preparato, spolverizzare con i restanti amaretti pestati, irrorare con burro fuso e far cuocere in forno caldo per 20 minuti. (Ricetta di Anna Genovese tratta da ""Ricettario Trentino"" pubblicato da ""L'Adige"")"
32,"Brazedel","Dolci","1 kg. di farina di frumento ; 250 gr. di zucchero ; 200 gr. di burro ; 200 gr. di uvetta sultanina ; 3 tuorli d'uovo ; 450 gr. di latte ; scorza di limone grattugiata ; 10 gr. lievito di birra  ; 10 gr. di sale. ;","Preparazione Si scioglie il lievito di birra in poca acqua tiepida e si impasta la farina, agiungendo il sale, il burro ammorbidito a pezzetti, i tuorli d'uovo, lo zucchero, il latte tiepido e l'uvetta sultanina precedentemente ammorbidita in poca acqua tiepida. Si lavora la pasta fino ad ottenere una consistenza morbida, ma compatta e la si pone su un piano, coperta da un panno, lasciandola lievitare per circa un'ora, alla temperatura di 26°C. Si impasta poi ancora per qualche minuto e si divide la pasta a metà lavorando ognuna delle due parti con le mani in modo da ottenere due rotoli che vengono intrecciati fra loro e uniti in modo da formare un cerchio. Si lascia ulteriormente lievitare per altri 45 minuti, sempre ad una temperatura di 26°C, si spennella quindi la superficie con un uovo sbattuto e si cuoce in forno a 220°C, per 15-20 minuti, fino a che la ciambella non raggiunge un bel colore ambrato. Si conserva in luogo asciutto per due o tre giorni."
33,"Buzòla","Dolci","2 kg. di farina di frumento ; 500 gr. di zucchero ; 400 gr. di burro ; 5 tuorli d'uovo ; 9 dl. di latte ; 1 bicchierino di anice o grappa o altro liquore ; 25 gr. lievito di birra ; 10 gr. di sale. ;","Preparazione Si impasta la farina con il lievito di birra precedentemente sciolto in un po' d'acqua tiepida, il sale, il burro, i tuorli d'uovo, lo zucchero ed il latte leggermente intiepidito. Si lavora la pasta per alcuni minuti, finchè non sarà morbida ed elastica, insaporendola quindi con l'anice, o la grappa, o altro liquore. Si fa lievitare la pasta, coperta da un panno, per almeno un'ora ad una temperatura di 26°C e la si lavora ancora per qualche minuto formando poi un rotolo chiuso a cerchio, che si lascia lievitare a sua volta per ulteriori 40 minuti, a 26 °C. Si spennella, infine, la superficie con un uovo sbattuto, la si cosparge di zucchero in granella e si mette in forno per 15-20 minuti, ad una temperatura di 220°C. Si conserva in luogo asciutto per 2-3 giorni."
34,"Canederli al formaggio","Primi","1 kg. di pane raffermo ; 0,5 l. di latte ; 6 uova fresche ; 400 gr. di formaggi freschi misti tradizionali della zona (o della Provincia di Trento) ; 100 gr. di burro ; erba cipollina; prezzemolo; sale, pepe,  noce moscata q.b. ; qualche foglia di salvia ; un po' di farina bianca.","Preparazione Si taglia il pane raffermo a dadini e si mettono poi in ammollo nel latte, precedentemente intiepidito, per circa due ore. Si unisce quindi erba cipollina e prezzemolo precedentemente tritati, uova e vari tipi di formaggi freschi misti tradizionali della zona (o della Provincia di Trento), tagliato a dadini. Si amalgama il tutto fino a raggiungere la giusta consistenza (se l'impasto risultasse troppo morbido, si aggiunge un po' di pane grattugiato in quanto il canederlo deve risultare compatto, ma morbido) e si confezionano delle palline passandole nel pane grattugiato. Si cuociono in brodo di carne o vegetale, per 7- 8 minuti. Possono essere serviti asciutti, conditi con burro spumeggiante, aromatizzato con salvia, oppure, più tipicamente, con il brodo di cottura. Si possono conservare in frigorifero per 4-5 gioni ad una temperatura di 0-4 °C."
35,"Castagnaccio","Dolci","500 gr. di farina di castagne; 50 gr. di zucchero; 4 cucchiai di olio di oliva; 60 gr. di pinoli; un pizzico di sale. ;","Preparazione Mettere la farina di castagne in una terrina abbastanza capace, aggiungere un po' alla volta acqua tiepida fino ad ottenere un impasto fluido e senza grumi, unire il sale, l'olio e lo zucchero amalgamendo bene. Ungere leggermente una teglia con olio, versarvi il composto, cospargere la superficie con i pinoli e condirla con un po' d'olio. Mettere in forno caldo e mantenere fino a quando la superficie non presenterà una leggera crosta. Se si vuole rendere veramente speciale il castagnaccio, usare latte al posto dell'acqua e unire all'impasto anche 100 gr. di uvetta sultanina."
36,"Crofani","Dolci","1 kg. di farina bianca del tipo 0 ; 150 gr. di burro ; 1 uovo intero ; 3 tuorli d'uovo ; 50 gr. di zucchero ; 250 ml. di vino bianco ; 1/2 bicchierino di grappa ; noci (o nocciole) ;","Preparazione Si impasta la farina con l'uovo intero, i 3 tuorli d'uovo, il burro ammorbidito a pezzetti, lo zucchero, il vino bianco e la grappa, ottenendo un impasto consistente ma morbido,  con cui si formano delle palline, all'interno delle quali si inserisce mezzo gheriglio di noce  (si possono usare anche delle nocciole). Utilizzando due cucchiaini da tè, si da alle palline la forma ad uovo, o meglio a confetto e si friggono in olio bollente fino a raggiungere un bel colore dorato. Si servono cosparsi di zucchero. Il prodotto va conservato in luogo fresco e asciutto e consumato entro 2-3 giorni."
37,"Minestra d'orzo","Primi","un pugnetto d'orzo per persona ; 1 pezzo di carne affumicata o in salamoia ; fagioli, carote, patate, sedano ; (a piacere anche prezzemolo, porri, piselli, zucchine) ; acqua o brodo vegetale; olio di oliva extra vergine del Trentino q.b. ; formaggio grana trentino grattugiato;sale q.b. ;","Preparazione Si taglia a pezzettini la verdura e la si mette in una grande pentola con dell'acqua (o brodo vegetale) e la carne affumicata (o salmistrata). Quando bolle si aggiunge l'orzo e si fa proseguire la cottura a fuoco lento per almeno tre ore, rigirando ogni tanto con un mestolo di legno, in modo da rendere densa la zuppa. Servire con una spruzzata di grana trentino grattugiato ed un filo d'olio. La carne si leva a cottura finita e può essere servita successivamente (come secondo piatto) con qualche verdura."
38,"Nocino",,"1 l. di alcol a 95°C; 25-30 noci con mallo ancora tenere e non lignificate ; 350 gr. di zucchero; 2 cm di corteccia di cannella; la buccia di un limone giallo; 15 chiodi di garofano; noce moscata. ;","Preparazione Lavare accuratamente le noci, che la tradizione vuole siano raccolte il giorno di S. Giovanni (24 giugno), asciugare, spezzettare e mettere a macerare nell'alcol insieme agli aromi in un barattolo ben chiuso. Lasciare riposare per 40 giorni, dopo di che togliere i pezzetti di noce, aggiungere lo zucchero, mescolare bene e lasciar riposare per qualche altro giorno. Infine filtrare con carta, imbottigliare e lasciare invecchiare per qualche mese prima di consumare."
39,"Pan co' le frìtole",,"2 kg. di farina di frumento; 500 gr. di farina di granoturco; 1 l. di acqua ; 500 gr. di frìtole ; 100 gr. di lievito di birra; 20 gr. di sale. ;","Preparazione Si impastano la farina di frumento, la farina di granoturco, il sale, l'acqua ed il lievito di birra (sciolto precedentemente in acqua tiepida). Si lavora l'impasto per alcuni minuti, fino ad ottenere una pasta morbida ed elastica che si lascia lievitare a 26°C, per circa un'ora. Si aggiungono quindi le frìtole e si impasta velocemente formando delle pagnottelle che devono essere lasciate lievitare per altri 20 minuti alla temperatura di 26°C per poi cuocerle in forno, a 230°C, per circa 30-35 minuti. E' un prodotto che va consumato fresco (dura 1-2 giorni)."
